Handle,Title,Body (HTML),Vendor,Product Category,Product Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Compare At Price,Image Src,Published,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Nude,Size,38,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Nude,Size,39,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Branco,Size,34,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Branco,Size,35,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Branco,Size,36,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Branco,Size,37,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Branco,Size,38,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Branco,Size,39,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Marrom,Size,34,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Marrom,Size,35,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Marrom,Size,36,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Marrom,Size,37,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Marrom,Size,38,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Marrom,Size,39,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Preto,Size,34,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Preto,Size,35,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Preto,Size,36,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Preto,Size,37,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Preto,Size,38,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,Color,Preto,Size,39,,249.00,,,TRUE,shopify,100,continue,manual,TRUE,TRUE,,,,active
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,,,,,,,,https://www.leveshoes.com.br/wp-content/uploads/2023/04/Tenis-Prada-Milano-Chunky-Sneaker-Blogueira-Preto-568x757.jpeg,,,,,,,,,,,
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,,,,,,,,https://www.leveshoes.com.br/wp-content/uploads/2023/04/Tenis-Prada-Milano-Chunky-Sneaker-Blogueira-Nude-568x757.jpeg,,,,,,,,,,,
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,,,,,,,,https://www.leveshoes.com.br/wp-content/uploads/2023/04/Tenis-Prada-Milano-Chunky-Sneaker-Blogueira-Marrom-568x757.jpeg,,,,,,,,,,,
Tênis Prada Milano Chunky Sneaker Blogueira,,,,,,,,,,,,,,https://www.leveshoes.com.br/wp-content/uploads/2023/04/Tenis-Prada-Milano-Chunky-Sneaker-Blogueira-Grafite-568x757.jpeg,,,,,,,,,,,
